"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"DIL8";"DIL08";"IC4, IC5, IC6";"Dual In Line / Socket";"";
"3";"";"DIODE-SOD123";"SOD123";"D27, D28, D29";"DIODE";"";
"6";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3, LED4, LED5, POWER";"LED";"";
"2";"";"PINHD-1X2";"1X02";"JP1, JP2";"PIN HEADER";"";
"2";"";"PINHD-1X3";"1X03";"HALL_VR, VR_HALL";"PIN HEADER";"";
"5";"";"ZENER-DIODESOT23";"SOT23";"D2, D17, D18, D23, D25";"Z-Diode";"";
"17";"100K";"R-US_R0805";"R0805";"R13, R14, R19, R21, R22, R23, R24, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35";"RESISTOR, American symbol";"";
"1";"100k";"R-US_R0805";"R0805";"R20";"RESISTOR, American symbol";"";
"1";"1K";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";
"6";"2K";"R-US_R0805";"R0805";"R15, R16, R17, R18, R25, R36";"RESISTOR, American symbol";"";
"1";"3K";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";
"3";"470";"R-US_R0603";"R0603";"R7, R8, R12";"RESISTOR, American symbol";"";
"19";"470";"R-US_R0805";"R0805";"R3, R4, R5, R6, R9, R10, R11, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48";"RESISTOR, American symbol";"";
"7";"47u";"C-USC0805";"C0805";"C15, C16, C17, C18, C19, C20, C21";"CAPACITOR, American symbol";"";
"2";"776180-1";"776180-1";"TE_776180-1";"J3, J4";"Conn Rectangular HDR 35 POS Solder RA Thru-Hole Automotive";"";
"1";"7824DT";"7824DT";"TO252";"IC3";"Positive VOLTAGE REGULATOR";"";
"1";"ARDUINO_NANO2";"ARDUINO_NANO2";"ARDUINO_NANO2";"MODUL1";"Arduino Nano2";"";
"12";"BAT54S";"BAT54S";"SOT23";"D1, D3, D4, D5, D6, D7, D8, D9, D10, D11, D22, D30";"Schottky barrier (double) diodesPlanar Schottky barrier diodes encapsulated in a SOT23";"";
"5";"GF1";"GF1";"SMA-DO214AC";"D19, D20, D21, D24, D26";"DIODE";"";
"2";"IXDN602SI";"IXDN602SI";"SOP140P599X142-9N";"IC1, IC2";"2-Ampere Dual Low-Side Ultrafast MOSFET Drivers";"";
"1";"MEGA_DEVICE";"MEGA_DEVICE";"MEGAOUTLINE";"U$1";"mega card as device";"";
"8";"NCV8402ADDR2G";"NCV8402ADDR2G";"SOIC127P600X175-8N";"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8";"Dual Self-Protected N-Channel Power MOSFET";"";
"9";"u1";"C-USC0805";"C0805";"C1, C3, C5, C7, C9, C11, C13, C22, C31";"CAPACITOR, American symbol";"";
"16";"u22";"C-USC0805";"C0805";"C2, C4, C6, C8, C10, C12, C14, C23, C24, C25, C26, C27, C28, C29, C30, C32";"CAPACITOR, American symbol";"";
